Project Name,District/Planning Area,Completion,URL
ADAM GARDEN,D11 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/adam-garden
ADAM PARK CONDOMINIUM,D11 / Bukit Timah,2004,https://www.edgeprop.sg/condo-apartment/adam-park-condominium
ADAM PLACE,D11 / Bukit Timah,1992,https://www.edgeprop.sg/condo-apartment/adam-place
ADIS VILLAS,D9 / Rochor,1989,https://www.edgeprop.sg/condo-apartment/adis-villas
ADRIA,D11 / Novena,2013,https://www.edgeprop.sg/condo-apartment/adria
ADVANCE APARTMENTS,D14 / Geylang,1989,https://www.edgeprop.sg/condo-apartment/advance-apartments
AFFLUENCE COURT,D19 / Hougang,1990,https://www.edgeprop.sg/condo-apartment/affluence-court
AIRSTREAM,D12 / Kallang,2012,https://www.edgeprop.sg/condo-apartment/airstream
AIRVIEW TOWERS,D9 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/airview-towers
AKYAB APARTMENTS,D11 / Novena,1985,https://www.edgeprop.sg/condo-apartment/akyab-apartments
ALBA,D9 / Newton,2015,https://www.edgeprop.sg/condo-apartment/alba
ALDEA BLANCA,D16 / Bedok,1985,https://www.edgeprop.sg/condo-apartment/aldea-blanca
ALEGRIA,D11 / Novena,2005,https://www.edgeprop.sg/condo-apartment/alegria
ALESSANDREA,D3 / Bukit Merah,2003,https://www.edgeprop.sg/condo-apartment/alessandrea
ALEXANDRA CENTRE,D3 / Queenstown,1980,https://www.edgeprop.sg/condo-apartment/alexandra-centre
ALEXIS,D3 / Queenstown,2012,https://www.edgeprop.sg/condo-apartment/alexis
ALLSWORTH PARK,D10 / Bukit Timah,1985,https://www.edgeprop.sg/condo-apartment/allsworth-park
ALOCASSIA APARTMENTS,D10 / Tanglin,1996,https://www.edgeprop.sg/condo-apartment/alocassia-apartments
ALPHA APARTMENTS,D15 / Marine Parade,2005,https://www.edgeprop.sg/condo-apartment/alpha-apartments
ALTEZ,D2 / Downtown Core,2014,https://www.edgeprop.sg/condo-apartment/altez
AMANINDA,D11 / Novena,2005,https://www.edgeprop.sg/condo-apartment/amaninda
AMARANDA GARDENS,D19 / Serangoon,2004,https://www.edgeprop.sg/condo-apartment/amaranda-gardens
AMARYLLIS VILLE,D11 / Novena,2004,https://www.edgeprop.sg/condo-apartment/amaryllis-ville
AMBER APARTMENTS,D15 / Marine Parade,1993,https://www.edgeprop.sg/condo-apartment/amber-apartments
AMBER LODGE,D15 / Marine Parade,1990,https://www.edgeprop.sg/condo-apartment/amber-lodge
N/A,N/A,N/A,https://www.edgeprop.sg/condo-apartment/the-opus
AMBER POINT,D15 / Marine Parade,1991,https://www.edgeprop.sg/condo-apartment/amber-point
AMBER RESIDENCES,D15 / Marine Parade,2011,https://www.edgeprop.sg/condo-apartment/amber-residences
AMBER TOWERS,D15 / Marine Parade,1977,https://www.edgeprop.sg/condo-apartment/amber-towers
AMBERGLADES,D15 / Marine Parade,1990,https://www.edgeprop.sg/condo-apartment/amberglades
AMBERVILLE,D15 / Marine Parade,1980,https://www.edgeprop.sg/condo-apartment/amberville
AMPAS APARTMENTS,D12 / Novena,1990,https://www.edgeprop.sg/condo-apartment/ampas-apartments
AMYTON COURT,D12 / Kallang,1990,https://www.edgeprop.sg/condo-apartment/amyton-court
ANCHOR GARDENS,D16 / Bedok,1984,https://www.edgeprop.sg/condo-apartment/anchor-gardens
ANDERSON 18,D10 / Newton,1992,https://www.edgeprop.sg/condo-apartment/anderson-18
ANGEL COURT,D11 / Novena,Unknown,https://www.edgeprop.sg/condo-apartment/angel-court
ANGULLIA HEIGHTS,D9 / River Valley,1989,https://www.edgeprop.sg/condo-apartment/angullia-heights
ANGULLIA MANSIONS,D9 / River Valley,1983,https://www.edgeprop.sg/condo-apartment/angullia-mansions
ANGULLIA VIEW,D9 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/angullia-view
APARTMENT 8,D13 / Toa Payoh,1995,https://www.edgeprop.sg/condo-apartment/apartment-8
APLETON VIEW,D11 / Novena,2003,https://www.edgeprop.sg/condo-apartment/apleton-view
APOLLO GARDENS,D16 / Tampines,1984,https://www.edgeprop.sg/condo-apartment/apollo-gardens
AQUARINE GARDENS,D15 / Bedok,2004,https://www.edgeprop.sg/condo-apartment/aquarine-gardens
AQUARIUS BY THE PARK,D16 / Bedok,2001,https://www.edgeprop.sg/condo-apartment/aquarius-by-the-park
AQUENE,D15 / Bedok,2008,https://www.edgeprop.sg/condo-apartment/aquene
ARANG COURT,D13 / Serangoon,Unknown,https://www.edgeprop.sg/condo-apartment/arang-court
ARC AT TAMPINES,D18 / Tampines,2014,https://www.edgeprop.sg/condo-apartment/arc-at-tampines
ARCHIPELAGO,D16 / Bedok,2015,https://www.edgeprop.sg/condo-apartment/archipelago
ARDMORE II,D10 / Newton,2010,https://www.edgeprop.sg/condo-apartment/ardmore-ii
ARDMORE PARK,D10 / Newton,2001,https://www.edgeprop.sg/condo-apartment/ardmore-park
ARDMORE POINT,D10 / Newton,1985,https://www.edgeprop.sg/condo-apartment/ardmore-point
ARDMORE VIEW,D10 / Newton,1992,https://www.edgeprop.sg/condo-apartment/ardmore-view
AROOZOO CENTRE,D19 / Hougang,1986,https://www.edgeprop.sg/condo-apartment/aroozoo-centre
ARTHUR 118,D15 / Marine Parade,2006,https://www.edgeprop.sg/condo-apartment/arthur-118
ARTHUR COURT,D15 / Marine Parade,2006,https://www.edgeprop.sg/condo-apartment/arthur-court
ARTHUR MANSIONS,D15 / Marine Parade,1993,https://www.edgeprop.sg/condo-apartment/arthur-mansions
ASCENTIA SKY,D3 / Bukit Merah,2013,https://www.edgeprop.sg/condo-apartment/ascentia-sky
ASIA GARDENS,D2 / Bukit Merah,1985,https://www.edgeprop.sg/condo-apartment/asia-gardens
ASIMONT @ BARKER,D11 / Novena,1986,https://www.edgeprop.sg/condo-apartment/asimont-barker
ASPEN HEIGHTS,D9 / River Valley,1998,https://www.edgeprop.sg/condo-apartment/aspen-heights
ASPEN LINQ,D9 / River Valley,2016,https://www.edgeprop.sg/condo-apartment/aspen-linq
ASPEN LOFT,D15 / Geylang,2005,https://www.edgeprop.sg/condo-apartment/aspen-loft
ASTON LODGE,D14 / Geylang,1996,https://www.edgeprop.sg/condo-apartment/aston-lodge
ASTON MANSIONS,D14 / Geylang,1998,https://www.edgeprop.sg/condo-apartment/aston-mansions
ASTOR,D14 / Bedok,2006,https://www.edgeprop.sg/condo-apartment/astor
ASTOR GREEN,D21 / Bukit Timah,1995,https://www.edgeprop.sg/condo-apartment/astor-green
CAIRNHILL ASTORIA,D9 / Newton,1983,https://www.edgeprop.sg/condo-apartment/cairnhill-astoria
ASTORIA PARK,D14 / Bedok,1995,https://www.edgeprop.sg/condo-apartment/astoria-park
ASTRID MEADOWS,D10 / Bukit Timah,1990,https://www.edgeprop.sg/condo-apartment/astrid-meadows
ASTRIDVILLE,D10 / Bukit Timah,1985,https://www.edgeprop.sg/condo-apartment/astridville
ATRIUM RESIDENCES,D14 / Geylang,2008,https://www.edgeprop.sg/condo-apartment/atrium-residences
ATTITUDE AT KIM YAM,D9 / River Valley,2011,https://www.edgeprop.sg/condo-apartment/attitude-at-kim-yam
AURA PARK,D10 / Tanglin,1987,https://www.edgeprop.sg/condo-apartment/aura-park
AURALIS,D15 / Bedok,2013,https://www.edgeprop.sg/condo-apartment/auralis
AUSTRAL VIEW,D15 / Kallang,1983,https://www.edgeprop.sg/condo-apartment/austral-view
AUSTVILLE RESIDENCES,D19 / Sengkang,2014,https://www.edgeprop.sg/condo-apartment/austville-residences
AUTUMN GLORY,D15 / Geylang,1983,https://www.edgeprop.sg/condo-apartment/autumn-glory
AUTUMN TEN MANSIONS,D15 / Geylang,1983,https://www.edgeprop.sg/condo-apartment/autumn-ten-mansions
AVA TOWERS,D12 / Novena,1993,https://www.edgeprop.sg/condo-apartment/ava-towers
AVALON,D10 / Tanglin,1999,https://www.edgeprop.sg/condo-apartment/avalon
AVENUE PARK,D10 / Bukit Timah,1979,https://www.edgeprop.sg/condo-apartment/avenue-park
AVILA GARDENS,D17 / Pasir Ris,1995,https://www.edgeprop.sg/condo-apartment/avila-gardens
AVON PARK,D13 / Toa Payoh,1991,https://www.edgeprop.sg/condo-apartment/avon-park
AXIS @ SIGLAP,D15 / Bedok,2009,https://www.edgeprop.sg/condo-apartment/axis-siglap
AZALEA PARK CONDOMINIUM,D17 / Pasir Ris,1996,https://www.edgeprop.sg/condo-apartment/azalea-park-condominium
BAGNALL COURT,D16 / Bedok,1991,https://www.edgeprop.sg/condo-apartment/bagnall-court
BALCON EAST,D16 / Bedok,2011,https://www.edgeprop.sg/condo-apartment/balcon-east
BALESTIER 288,D12 / Novena,2004,https://www.edgeprop.sg/condo-apartment/balestier-288
BALESTIER COMPLEX,D12 / Novena,1981,https://www.edgeprop.sg/condo-apartment/balestier-complex
BALESTIER COURT,D12 / Novena,1983,https://www.edgeprop.sg/condo-apartment/balestier-court
BALESTIER MANSION,D12 / Novena,Unknown,https://www.edgeprop.sg/condo-apartment/balestier-mansion
BALESTIER PLAZA,D12 / Novena,1983,https://www.edgeprop.sg/condo-apartment/balestier-plaza
BALESTIER POINT,D12 / Novena,1986,https://www.edgeprop.sg/condo-apartment/balestier-point
BALESTIER REGENCY,D12 / Novena,1990,https://www.edgeprop.sg/condo-apartment/balestier-regency
BALESTIER TOWERS,D12 / Novena,1991,https://www.edgeprop.sg/condo-apartment/balestier-towers
BALLOTA PARK CONDOMINIUM,D17 / Pasir Ris,2000,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium
BALMEG COURT,D5 / Queenstown,1983,https://www.edgeprop.sg/condo-apartment/balmeg-court
BALMORAL 8,D10 / Newton,2003,https://www.edgeprop.sg/condo-apartment/balmoral-8
BALMORAL CONDOMINIUM,D10 / Newton,1992,https://www.edgeprop.sg/condo-apartment/balmoral-condominium
BALMORAL COURT,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/balmoral-court
BALMORAL CREST,D10 / Newton,2002,https://www.edgeprop.sg/condo-apartment/balmoral-crest
BALMORAL GARDENS,D10 / Tanglin,1982,https://www.edgeprop.sg/condo-apartment/balmoral-gardens
BALMORAL GATE,D10 / Tanglin,1994,https://www.edgeprop.sg/condo-apartment/balmoral-gate
BALMORAL GREEN,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/balmoral-green
BALMORAL GROVE,D10 / Tanglin,1990,https://www.edgeprop.sg/condo-apartment/balmoral-grove
BALMORAL HAVEN,D10 / Newton,Unknown,https://www.edgeprop.sg/condo-apartment/balmoral-haven
BALMORAL HEIGHTS,D10 / Newton,2004,https://www.edgeprop.sg/condo-apartment/balmoral-heights
BALMORAL HILLS,D10 / Tanglin,2008,https://www.edgeprop.sg/condo-apartment/balmoral-hills
BALMORAL PARK,D10 / Tanglin,1983,https://www.edgeprop.sg/condo-apartment/balmoral-park
BALMORAL PLACE,D10 / Newton,2000,https://www.edgeprop.sg/condo-apartment/balmoral-place
BALMORAL PLAZA,D10 / Newton,1994,https://www.edgeprop.sg/condo-apartment/balmoral-plaza
BALMORAL POINT,D10 / Tanglin,1974,https://www.edgeprop.sg/condo-apartment/balmoral-point
BALMORAL RESIDENCES,D10 / Newton,2001,https://www.edgeprop.sg/condo-apartment/balmoral-residences
BALMORAL TOWER,D10 / Tanglin,1983,https://www.edgeprop.sg/condo-apartment/balmoral-tower
BALMORAL VIEW,D10 / Newton,1983,https://www.edgeprop.sg/condo-apartment/balmoral-view
BALMY COURT,D14 / Geylang,1998,https://www.edgeprop.sg/condo-apartment/balmy-court
BANYAN CONDOMINIUM,D5 / Queenstown,1995,https://www.edgeprop.sg/condo-apartment/banyan-condominium
BAODE BUILDING,D14 / Geylang,1991,https://www.edgeprop.sg/condo-apartment/baode-building
BARTLEY GROVE,D19 / Serangoon,1976,https://www.edgeprop.sg/condo-apartment/bartley-grove
BARTLEY RESIDENCES,D19 / Serangoon,2015,https://www.edgeprop.sg/condo-apartment/bartley-residences
BARTLEY TERRACE,D19 / Serangoon,1989,https://www.edgeprop.sg/condo-apartment/bartley-terrace
BASSEIN COURT,D11 / Novena,1993,https://www.edgeprop.sg/condo-apartment/bassein-court
BAYOU RESIDENCE,D19 / Serangoon,2008,https://www.edgeprop.sg/condo-apartment/bayou-residence
BAYSHORE PARK,D16 / Bedok,1986,https://www.edgeprop.sg/condo-apartment/bayshore-park
BAYVILLE CONDOMINIUM,D5 / Queenstown,1996,https://www.edgeprop.sg/condo-apartment/bayville-condominium
BAYWATER,D16 / Bedok,2006,https://www.edgeprop.sg/condo-apartment/baywater
BEACON HEIGHTS,D12 / Kallang,2012,https://www.edgeprop.sg/condo-apartment/beacon-heights
BEAUFORT ON NASSIM,D10 / Tanglin,2008,https://www.edgeprop.sg/condo-apartment/beaufort-on-nassim
BEAUTY WORLD CENTRE,D21 / Bukit Timah,Unknown,https://www.edgeprop.sg/condo-apartment/beauty-world-centre
BEAUTY WORLD PLAZA,D21 / Bukit Timah,1982,https://www.edgeprop.sg/condo-apartment/beauty-world-plaza
BEAVERTON COURT,D10 / Bukit Timah,1984,https://www.edgeprop.sg/condo-apartment/beaverton-court
BEDOK COURT,D16 / Bedok,1985,https://www.edgeprop.sg/condo-apartment/bedok-court
BEDOK RESIDENCES,D16 / Bedok,2015,https://www.edgeprop.sg/condo-apartment/bedok-residences
BEDOK SHOPPING COMPLEX,D16 / Bedok,1977,https://www.edgeprop.sg/condo-apartment/bedok-shopping-complex
BEE HWA COURT,D9 / River Valley,Unknown,https://www.edgeprop.sg/condo-apartment/bee-hwa-court
BELLA CASITA,D15 / Geylang,2012,https://www.edgeprop.sg/condo-apartment/bella-casita
BELLA VISTA,D13 / Serangoon,2009,https://www.edgeprop.sg/condo-apartment/bella-vista
BELLE VUE,D9 / River Valley,1986,https://www.edgeprop.sg/condo-apartment/belle-vue
BELLE VUE RESIDENCES,D9 / River Valley,2010,https://www.edgeprop.sg/condo-apartment/belle-vue-residences
BELLERIVE,D10 / Tanglin,2011,https://www.edgeprop.sg/condo-apartment/bellerive
BELLEZZA @ KATONG,D15 / Marine Parade,2008,https://www.edgeprop.sg/condo-apartment/bellezza-katong
BELMOND GREEN,D10 / Tanglin,2004,https://www.edgeprop.sg/condo-apartment/belmond-green
BELMONDO VIEW,D12 / Novena,2002,https://www.edgeprop.sg/condo-apartment/belmondo-view
BELYSA,D18 / Pasir Ris,2014,https://www.edgeprop.sg/condo-apartment/belysa
BENDIGO GARDENS,D15 / Geylang,1984,https://www.edgeprop.sg/condo-apartment/bendigo-gardens
BETA GROVE,D15 / Bedok,1990,https://www.edgeprop.sg/condo-apartment/beta-grove
BEVERLY HILL,D10 / Tanglin,1983,https://www.edgeprop.sg/condo-apartment/beverly-hill
BEVERLY MAI,D10 / River Valley,1974,https://www.edgeprop.sg/condo-apartment/beverly-mai
BINJAI PARK,D21 / Bukit Timah,2011,https://www.edgeprop.sg/condo-apartment/binjai-park
BIRCHWOOD MANSIONS,D12 / Novena,1990,https://www.edgeprop.sg/condo-apartment/birchwood-mansions
BIRMINGHAM MANSIONS,D11 / Novena,1998,https://www.edgeprop.sg/condo-apartment/birmingham-mansions
BISHAN 8,D20 / Bishan,2000,https://www.edgeprop.sg/condo-apartment/bishan-8
BISHAN LOFT,D20 / Bishan,2003,https://www.edgeprop.sg/condo-apartment/bishan-loft
BISHAN PARK CONDOMINIUM,D20 / Bishan,1994,https://www.edgeprop.sg/condo-apartment/bishan-park-condominium
BISHAN POINT,D20 / Bishan,2005,https://www.edgeprop.sg/condo-apartment/bishan-point
BLEU @ EAST COAST,D16 / Bedok,2008,https://www.edgeprop.sg/condo-apartment/bleu-east-coast
BLISS LOFT,D12 / Novena,2012,https://www.edgeprop.sg/condo-apartment/bliss-loft
BLISS REGALIA,D8 / Kallang,2009,https://www.edgeprop.sg/condo-apartment/bliss-regalia
BLISS RESIDENCES,D14 / Bedok,2008,https://www.edgeprop.sg/condo-apartment/bliss-residences
BLISS VILLE,D14 / Bedok,2010,https://www.edgeprop.sg/condo-apartment/bliss-ville
BLISS@KOVAN,D19 / Hougang,2015,https://www.edgeprop.sg/condo-apartment/blisskovan
BLOSSOM MANSIONS,D14 / Geylang,1995,https://www.edgeprop.sg/condo-apartment/blossom-mansions
BLOSSOM RESIDENCES,D23 / Bukit Panjang,2014,https://www.edgeprop.sg/condo-apartment/blossom-residences
BLOSSOM VIEW,D14 / Geylang,1997,https://www.edgeprop.sg/condo-apartment/blossom-view
BLOSSOMS @ WOODLEIGH,D13 / Toa Payoh,2007,https://www.edgeprop.sg/condo-apartment/blossoms-woodleigh
BLU CORAL,D15 / Bedok,2009,https://www.edgeprop.sg/condo-apartment/blu-coral
BLUE HORIZON,D5 / Clementi,2005,https://www.edgeprop.sg/condo-apartment/blue-horizon
BLUWATERS,D17 / Pasir Ris,2007,https://www.edgeprop.sg/condo-apartment/bluwaters
BLUWATERS 2,D17 / Pasir Ris,2010,https://www.edgeprop.sg/condo-apartment/bluwaters-2
BO BO TAN GARDENS,D3 / Bukit Merah,Unknown,https://www.edgeprop.sg/condo-apartment/bo-bo-tan-gardens
BOATHOUSE RESIDENCES,D19 / Hougang,2015,https://www.edgeprop.sg/condo-apartment/boathouse-residences
BOON COURT,D15 / Geylang,1976,https://www.edgeprop.sg/condo-apartment/boon-court
BOON SING BUILDING,D7 / Downtown Core,1985,https://www.edgeprop.sg/condo-apartment/boon-sing-building
BOON TECK APARTMENTS,D12 / Novena,1990,https://www.edgeprop.sg/condo-apartment/boon-teck-apartments
BOON TECK HEIGHTS,D12 / Novena,1987,https://www.edgeprop.sg/condo-apartment/boon-teck-heights
BOON TECK LODGE,D12 / Novena,1994,https://www.edgeprop.sg/condo-apartment/boon-teck-lodge
BOON TECK TOWER,D12 / Novena,1984,https://www.edgeprop.sg/condo-apartment/boon-teck-tower
BOON TECK VIEW,D12 / Novena,Unknown,https://www.edgeprop.sg/condo-apartment/boon-teck-view
BOON THONG BUILDING,D14 / Geylang,Unknown,https://www.edgeprop.sg/condo-apartment/boon-thong-building
BOONVIEW,D20 / Bishan,2003,https://www.edgeprop.sg/condo-apartment/boonview
BOTANIC GARDENS MANSION,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/botanic-gardens-mansion
BOTANIC GARDENS VIEW,D10 / Tanglin,Unknown,https://www.edgeprop.sg/condo-apartment/botanic-gardens-view
BOTANIKA,D10 / Tanglin,2008,https://www.edgeprop.sg/condo-apartment/botanika
BOTANNIA,D5 / Clementi,2009,https://www.edgeprop.sg/condo-apartment/botannia
BOUGAINVILLA APARTMENTS,D14 / Geylang,1998,https://www.edgeprop.sg/condo-apartment/bougainvilla-apartments
BOUGAINVILLA COURT,D15 / Bedok,1984,https://www.edgeprop.sg/condo-apartment/bougainvilla-court
BOUGAINVILLE MAISONETTE APARTMENTS,D15 / Geylang,Unknown,https://www.edgeprop.sg/condo-apartment/bougainville-maisonette-apartments
BOULEVARD VUE,D10 / River Valley,2013,https://www.edgeprop.sg/condo-apartment/boulevard-vue
BOWMONT CENTRE,D15 / Bedok,2003,https://www.edgeprop.sg/condo-apartment/bowmont-centre
BRADDELL PARK,D13 / Serangoon,1983,https://www.edgeprop.sg/condo-apartment/braddell-park
BRADDELL REGALIA,D13 / Serangoon,2002,https://www.edgeprop.sg/condo-apartment/braddell-regalia
BRADDELL VIEW,D20 / Toa Payoh,1981,https://www.edgeprop.sg/condo-apartment/braddell-view
BREEZE BY THE EAST,D16 / Bedok,2011,https://www.edgeprop.sg/condo-apartment/breeze-by-the-east
BREEZY MANSIONS,D19 / Hougang,2002,https://www.edgeprop.sg/condo-apartment/breezy-mansions
BRIGHT BUILDING,D12 / Novena,1979,https://www.edgeprop.sg/condo-apartment/bright-building
BRIGHTON VIEW,D19 / Serangoon,1985,https://www.edgeprop.sg/condo-apartment/brighton-view
BRIGHTVIEW APARTMENTS,D14 / Geylang,1989,https://www.edgeprop.sg/condo-apartment/brightview-apartments
BRISTOL LODGE,D8 / Kallang,1993,https://www.edgeprop.sg/condo-apartment/bristol-lodge
BROOKVALE PARK,D21 / Clementi,1983,https://www.edgeprop.sg/condo-apartment/brookvale-park
BUCKLEY 18,D11 / Novena,2009,https://www.edgeprop.sg/condo-apartment/buckley-18
BUCKLEY CLASSIQUE,D11 / Novena,2014,https://www.edgeprop.sg/condo-apartment/buckley-classique
BUCKLEY MANSIONS,D11 / Novena,1984,https://www.edgeprop.sg/condo-apartment/buckley-mansions
BUCKLEY RESIDENCE,D11 / Novena,2007,https://www.edgeprop.sg/condo-apartment/buckley-residence
BUKIT REGENCY,D21 / Bukit Timah,1995,https://www.edgeprop.sg/condo-apartment/bukit-regency
BUKIT TIMAH MANSIONS,D10 / Tanglin,1984,https://www.edgeprop.sg/condo-apartment/bukit-timah-mansions
BULLION PARK,D26 / Ang Mo Kio,1993,https://www.edgeprop.sg/condo-apartment/bullion-park
BUONA LODGE,D5 / Queenstown,1992,https://www.edgeprop.sg/condo-apartment/buona-lodge
BUONA VISTA GARDENS,D5 / Queenstown,1989,https://www.edgeprop.sg/condo-apartment/buona-vista-gardens
BURLINGTON SQUARE,D7 / Rochor,1998,https://www.edgeprop.sg/condo-apartment/burlington-square
BUTTERWORTH 33,D15 / Geylang,2006,https://www.edgeprop.sg/condo-apartment/butterworth-33
BUTTERWORTH 8,D15 / Geylang,2004,https://www.edgeprop.sg/condo-apartment/butterworth-8
BUTTERWORTH VIEW,D15 / Geylang,1999,https://www.edgeprop.sg/condo-apartment/butterworth-view
CADENCE LIGHT,D15 / Bedok,2007,https://www.edgeprop.sg/condo-apartment/cadence-light
CAI GARDEN,D14 / Bedok,1982,https://www.edgeprop.sg/condo-apartment/cai-garden
CAI YUAN MANSIONS,D12 / Novena,1985,https://www.edgeprop.sg/condo-apartment/cai-yuan-mansions
CAIRNHILL APARTMENT,D9 / Newton,2002,https://www.edgeprop.sg/condo-apartment/cairnhill-apartment
CAIRNHILL COURT,D9 / Newton,Unknown,https://www.edgeprop.sg/condo-apartment/cairnhill-court
CAIRNHILL CREST,D9 / Newton,2004,https://www.edgeprop.sg/condo-apartment/cairnhill-crest
CAIRNHILL GARDENS,D9 / Newton,1978,https://www.edgeprop.sg/condo-apartment/cairnhill-gardens
CAIRNHILL HEIGHTS,D9 / Newton,1985,https://www.edgeprop.sg/condo-apartment/cairnhill-heights
CAIRNHILL MANSIONS,D9 / Newton,Unknown,https://www.edgeprop.sg/condo-apartment/cairnhill-mansions
CAIRNHILL PLAZA,D9 / Newton,1978,https://www.edgeprop.sg/condo-apartment/cairnhill-plaza
CAIRNHILL RESIDENCES,D9 / Orchard,2009,https://www.edgeprop.sg/condo-apartment/cairnhill-residences
CALARASI,D12 / Novena,2004,https://www.edgeprop.sg/condo-apartment/calarasi
CALIN MANSIONS,D14 / Geylang,1992,https://www.edgeprop.sg/condo-apartment/calin-mansions
CALISAY,D19 / Serangoon,1985,https://www.edgeprop.sg/condo-apartment/calisay
CALLIDORA VILLE,D15 / Bedok,2009,https://www.edgeprop.sg/condo-apartment/callidora-ville
CALROSE GARDEN,D26 / Ang Mo Kio,Unknown,https://www.edgeprop.sg/condo-apartment/calrose-garden
CAMAY COURT,D15 / Bedok,1985,https://www.edgeprop.sg/condo-apartment/camay-court
CAMBRIDGE VILLAGE,D8 / Kallang,1983,https://www.edgeprop.sg/condo-apartment/cambridge-village
CAMELLIA LODGE,D14 / Geylang,1997,https://www.edgeprop.sg/condo-apartment/camellia-lodge
CAMELODGE,D15 / Bedok,1996,https://www.edgeprop.sg/condo-apartment/camelodge
CAMELOT BY-THE-WATER,D15 / Kallang,2000,https://www.edgeprop.sg/condo-apartment/camelot-by-the-water
CANARY VILLE,D15 / Bedok,2004,https://www.edgeprop.sg/condo-apartment/canary-ville
CANBERLIN APARTMENTS,D14 / Geylang,2001,https://www.edgeprop.sg/condo-apartment/canberlin-apartments
CANBERLIN LODGE,D14 / Geylang,2001,https://www.edgeprop.sg/condo-apartment/canberlin-lodge
CANBERRA RESIDENCES,D27 / Sembawang,2013,https://www.edgeprop.sg/condo-apartment/canberra-residences
CANDEVILLE,D15 / Bedok,1994,https://www.edgeprop.sg/condo-apartment/candeville
CANNAVILLE,D15 / Marine Parade,1993,https://www.edgeprop.sg/condo-apartment/cannaville
CANNE LODGE,D14 / Kallang,1995,https://www.edgeprop.sg/condo-apartment/canne-lodge
CANTIZ @ RAMBAI,D15 / Marine Parade,2010,https://www.edgeprop.sg/condo-apartment/cantiz-rambai
CARABELLE,D5 / Clementi,2009,https://www.edgeprop.sg/condo-apartment/carabelle
CARDIFF COURT,D19 / Serangoon,1987,https://www.edgeprop.sg/condo-apartment/cardiff-court
